Date,First_Estimate,Days_between_estimate,EstimatedEffort,Total_Hours,Effort_over_Estimate,Parent_Team,Team_Name,Region
2017-01-18,2017-01-18,0,8.0,22.0,275,R&D,Photon Torpedos,Brazil
2017-01-18,2017-01-19,1,8.0,4.0,50,Systems Engineering,Warp Engines,US & Canada
2017-01-18,2017-03-07,48,10.0,6.0,60,Support Engineering,Transporters,US & Canada
2017-01-19,2017-09-21,245,96.0,9.0,9,Systems Engineering,Transporters,US & Canada
2017-01-19,2017-02-17,29,78.0,7.0,8,Systems Engineering,Transporters,US & Canada
2017-01-19,2017-02-07,19,4.0,2.0,50,Systems Engineering,Transporters,US & Canada
2017-01-19,2017-03-22,62,8.0,3.000000014901161,37,Systems Engineering,Transporters,US & Canada
2017-01-19,2017-01-23,4,8.0,5.0,62,Support Engineering,Warp Engines,US & Canada
2017-01-20,2017-04-12,82,15.0,21.0,140,R&D,Photon Torpedos,Mexico
2017-01-20,2017-01-20,0,8.0,13.0,162,Support Engineering,Tricorders,US & Canada
2017-01-20,2017-02-14,25,20.0,14.300000011920927,71,Support Engineering,Tricorders,US & Canada
2017-01-20,2017-02-09,20,8.0,6.0,75,Systems Engineering,Transporters,US & Canada
2017-01-23,2017-01-23,0,40.0,8.5,21,Support Engineering,Warp Engines,US & Canada
2017-01-23,2017-09-21,241,8.0,14.0,175,Systems Engineering,Transporters,US & Canada
2017-01-23,2017-01-30,7,35.0,17.30000001192093,49,Support Engineering,Transporters,US & Canada
2017-01-23,2017-01-25,2,8.0,4.0,50,Systems Engineering,Warp Engines,US & Canada
2017-01-24,2017-02-06,13,50.0,27.10000003874302,54,Systems Engineering,Warp Engines,US & Canada
2017-01-24,2017-01-27,3,8.0,7.0,87,Systems Engineering,Transporters,US & Canada
2017-01-24,2017-06-09,136,1.0,1.300000011920929,130,Support Engineering,Warp Engines,US & Canada
2017-01-24,2017-01-25,1,7.0,8.5,121,Support Engineering,Warp Engines,US & Canada
2017-01-24,2017-01-31,7,4.0,7.0,175,Systems Engineering,Transporters,US & Canada
2017-01-24,2017-01-25,1,5.0,4.0,80,Support Engineering,Warp Engines,US & Canada
2017-01-24,2017-01-27,3,8.0,5.100000001490116,63,Systems Engineering,Warp Engines,US & Canada
2017-01-24,2017-09-21,240,8.0,10.0,125,Systems Engineering,Transporters,US & Canada
2017-01-25,2017-02-20,26,100.0,112.0,112,Systems Engineering,Transporters,US & Canada
2017-01-26,2017-02-09,14,12.0,17.0,141,Systems Engineering,Transporters,US & Canada
2017-01-26,2017-05-05,99,10.0,10.0,100,Support Engineering,Transporters,US & Canada
2017-01-26,2017-01-31,5,6.0,9.0,150,Support Engineering,Warp Engines,US & Canada
2017-01-26,2017-02-07,12,24.0,13.5,56,Support Engineering,Warp Engines,US & Canada
2017-01-27,2017-01-30,3,8.0,6.600000001490116,82,Systems Engineering,Warp Engines,US & Canada
2017-01-27,2017-01-30,3,39.0,8.0,20,Systems Engineering,Tricorders,US & Canada
2017-01-27,2017-02-08,12,30.0,26.0,86,Support Engineering,Warp Engines,US & Canada
2017-01-28,2017-02-08,11,30.0,82.0,273,R&D,Photon Torpedos,Brazil
2017-01-29,2017-01-30,1,2.0,1.0,50,Support Engineering,Transporters,US & Canada
2017-01-30,2017-04-12,72,3.4,9.800000011920927,288,R&D,Photon Torpedos,Mexico
2017-01-30,2017-01-30,0,8.0,8.0,100,Systems Engineering,Transporters,US & Canada
2017-01-30,2017-05-03,93,52.5,298.5,568,Support Engineering,Tricorders,US & Canada
2017-01-30,2017-03-07,36,39.0,38.0,97,Support Engineering,Transporters,US & Canada
2017-01-30,2017-03-24,53,50.0,46.00000074505806,92,Systems Engineering,Transporters,US & Canada
2017-01-30,2017-02-07,8,25.0,24.5,98,Systems Engineering,Warp Engines,US & Canada
2017-01-30,2017-01-31,1,8.0,2.0,25,Systems Engineering,Warp Engines,US & Canada
2017-01-30,2017-01-31,1,4.0,5.0,125,Systems Engineering,Transporters,US & Canada
2017-01-30,2017-02-06,7,8.0,6.0,75,Systems Engineering,Warp Engines,US & Canada
2017-01-31,2017-02-20,20,8.0,8.5,106,Systems Engineering,Warp Engines,US & Canada
2017-01-31,2017-01-31,0,70.0,68.5,97,Support Engineering,Tricorders,US & Canada
2017-01-31,2017-02-07,7,8.0,5.0,62,Systems Engineering,Warp Engines,US & Canada
2017-01-31,2017-02-07,7,30.0,15.0,50,Support Engineering,Warp Engines,US & Canada
2017-01-31,2017-02-06,6,7.0,4.0,57,Systems Engineering,Transporters,US & Canada
2017-01-31,2017-02-09,9,8.0,4.0,50,Systems Engineering,Warp Engines,US & Canada
2017-02-01,2017-02-07,6,4.0,15.0,375,R&D,Photon Torpedos,Brazil
2017-02-01,2017-09-21,232,4.0,2.0,50,Systems Engineering,Transporters,US & Canada
2017-02-01,2017-02-02,1,8.0,6.699999988079071,83,Support Engineering,Warp Engines,US & Canada
2017-02-01,2017-05-02,90,8.0,14.500000074505804,181,Systems Engineering,Transporters,US & Canada
2017-02-01,2017-02-02,1,8.0,2.0,25,Systems Engineering,Warp Engines,US & Canada
2017-02-02,2017-02-03,1,8.0,17.0,212,R&D,Photon Torpedos,Brazil
2017-02-02,2017-02-02,0,6.0,2.5,41,Systems Engineering,Transporters,US & Canada
2017-02-02,2017-02-02,0,6.0,3.0,50,Support Engineering,Warp Engines,US & Canada
2017-02-02,2017-02-02,0,8.0,3.5,43,Systems Engineering,Warp Engines,US & Canada
2017-02-02,2017-02-21,19,4.0,2.0000000298023224,50,Systems Engineering,Warp Engines,US & Canada
2017-02-02,2017-06-01,119,200.0,198.00000143051147,99,Systems Engineering,Tricorders,US & Canada
2017-02-02,2017-02-08,6,8.0,8.0,100,Systems Engineering,Warp Engines,US & Canada
2017-02-03,2017-02-09,6,24.0,14.0,58,Systems Engineering,Warp Engines,US & Canada
2017-02-03,2017-02-07,4,30.0,59.5,198,Systems Engineering,Transporters,US & Canada
2017-02-03,2017-02-10,7,8.0,1.5,18,Systems Engineering,Warp Engines,US & Canada
2017-02-03,2017-02-06,3,8.0,10.000000149011614,125,Systems Engineering,Warp Engines,US & Canada
2017-02-03,2017-02-08,5,4.0,1.300000011920929,32,Systems Engineering,Warp Engines,US & Canada
2017-02-03,2017-02-06,3,1.5,1.5,100,Support Engineering,Warp Engines,US & Canada
2017-02-03,2017-02-20,17,20.0,27.0,135,Systems Engineering,Warp Engines,US & Canada
2017-02-03,2017-03-06,31,100.0,95.00000013411044,95,Systems Engineering,Transporters,US & Canada
2017-02-03,2017-02-08,5,8.0,5.0,62,Systems Engineering,Warp Engines,US & Canada
2017-02-04,2017-02-09,5,8.0,6.0,75,Systems Engineering,Warp Engines,US & Canada
2017-02-06,2017-02-06,0,8.0,0.8000000119209291,10,R&D,Photon Torpedos,Brazil
2017-02-06,2017-02-06,0,1.0,1.0,100,Systems Engineering,Warp Engines,US & Canada
2017-02-06,2017-02-09,3,6.0,7.0,116,Systems Engineering,Transporters,US & Canada
2017-02-06,2017-08-17,192,8.0,8.00000011920929,100,Support Engineering,Transporters,US & Canada
2017-02-06,2017-02-07,1,12.0,10.5,87,Support Engineering,Warp Engines,US & Canada
2017-02-07,2017-02-07,0,4.0,4.0,100,Systems Engineering,Warp Engines,US & Canada
2017-02-07,2017-02-07,0,8.0,4.4000000059604645,55,R&D,Photon Torpedos,Brazil
2017-02-07,2017-02-07,0,8.0,5.0,62,Systems Engineering,Transporters,US & Canada
2017-02-07,2017-02-07,0,8.0,28.000000476837158,350,Support Engineering,Transporters,US & Canada
2017-02-07,2017-02-22,15,8.0,3.0,37,Systems Engineering,Warp Engines,US & Canada
2017-02-07,2017-02-08,1,8.0,1.0,12,Systems Engineering,Warp Engines,US & Canada
2017-02-07,2017-02-08,1,16.0,52.0,325,Systems Engineering,Warp Engines,US & Canada
2017-02-08,2017-05-31,112,8.0,1.0,12,Support Engineering,Tricorders,US & Canada
2017-02-13,2017-02-22,9,8.0,7.5,93,Support Engineering,Transporters,US & Canada
2017-02-08,2017-02-13,5,8.0,7.0,87,Systems Engineering,Transporters,US & Canada
2017-02-08,2017-02-13,5,16.0,7.5,46,Systems Engineering,Warp Engines,US & Canada
2017-02-08,2017-02-22,14,8.0,7.0,87,Systems Engineering,Transporters,US & Canada
2017-02-09,2017-02-21,12,350.0,339.7000048160553,97,Systems Engineering,Warp Engines,US & Canada
2017-02-09,2017-02-10,1,8.0,15.5,193,Systems Engineering,Tricorders,US & Canada
2017-02-09,2017-02-13,4,8.0,8.0,100,Systems Engineering,Transporters,US & Canada
2017-02-09,2017-02-20,11,8.0,5.0,62,Systems Engineering,Warp Engines,US & Canada
2017-02-09,2017-02-10,1,8.0,2.5,31,Systems Engineering,Warp Engines,US & Canada
2017-02-09,2017-02-13,4,8.0,8.5,106,Systems Engineering,Tricorders,US & Canada
2017-02-10,2017-02-13,3,10.0,1.0,10,Support Engineering,Warp Engines,US & Canada
2017-02-10,2017-02-27,17,4.0,4.0,100,Systems Engineering,Transporters,US & Canada
2017-02-10,2017-02-17,7,8.0,7.0,87,Systems Engineering,Transporters,US & Canada
2017-02-13,2017-04-10,56,8.0,7.0,87,Systems Engineering,Transporters,US & Canada
2017-02-13,2017-09-21,220,4.0,2.0,50,Systems Engineering,Transporters,US & Canada
2017-02-13,2017-02-21,8,3.0,3.0,100,Systems Engineering,Warp Engines,US & Canada
2017-02-13,2017-03-06,21,17.0,26.0,152,Systems Engineering,Transporters,US & Canada
2017-02-14,2017-02-14,0,24.0,22.0,91,Systems Engineering,Tricorders,US & Canada
2017-02-14,2017-03-08,22,60.0,3.5,5,Systems Engineering,Warp Engines,US & Canada
2017-02-14,2017-05-03,78,63.0,249.0,395,Support Engineering,Tricorders,US & Canada
2017-02-14,2017-04-25,70,40.0,40.40000023692846,101,Systems Engineering,Transporters,US & Canada
2017-02-14,2017-05-02,77,8.0,6.0,75,Systems Engineering,Transporters,US & Canada
2017-02-15,2017-09-13,210,8.0,8.0,100,Systems Engineering,Transporters,US & Canada
2017-02-15,2017-02-15,0,8.0,4.0,50,Systems Engineering,Warp Engines,US & Canada
2017-02-15,2017-02-24,9,6.0,1.5,25,Support Engineering,Transporters,US & Canada
2017-02-15,2017-03-13,26,115.0,81.0,70,Support Engineering,Warp Engines,US & Canada
2017-02-15,2017-02-15,0,327.0,95.00000002980231,29,Support Engineering,Warp Engines,US & Canada
2017-02-16,2017-02-24,8,12.0,12.0,100,Systems Engineering,Transporters,US & Canada
2017-02-16,2017-03-15,27,42.5,55.0,129,Support Engineering,Warp Engines,US & Canada
2017-02-16,2017-02-16,0,8.0,2.0,25,Support Engineering,Warp Engines,US & Canada
2017-02-16,2017-02-24,8,80.0,12.0,15,Systems Engineering,Tricorders,US & Canada
2017-02-16,2017-03-21,33,100.0,99.0,99,Systems Engineering,Warp Engines,US & Canada
2017-02-16,2017-02-17,1,8.0,5.200000032782555,65,R&D,Photon Torpedos,Brazil
2017-02-16,2017-03-01,13,8.0,8.0,100,Systems Engineering,Warp Engines,US & Canada
2017-02-16,2017-02-20,4,8.0,7.0,87,Systems Engineering,Transporters,US & Canada
2017-02-17,2017-02-17,0,7.0,17.0,242,R&D,Photon Torpedos,Brazil
2017-02-17,2017-02-17,0,8.0,2.5,31,Systems Engineering,Warp Engines,US & Canada
2017-02-17,2017-02-17,0,60.0,48.5,80,Support Engineering,Warp Engines,US & Canada
2017-02-17,2017-02-17,0,24.0,14.299999952316284,59,Support Engineering,Warp Engines,US & Canada
2017-02-17,2017-02-17,0,130.0,111.5,85,Support Engineering,Warp Engines,US & Canada
2017-02-17,2017-02-17,0,12.0,3.5,29,Support Engineering,Warp Engines,US & Canada
2017-02-17,2017-02-17,0,8.0,10.0,125,Systems Engineering,Warp Engines,US & Canada
2017-02-17,2017-02-20,3,8.0,12.0,150,Systems Engineering,Tricorders,US & Canada
2017-02-18,2017-04-11,52,4.0,8.0,200,R&D,Photon Torpedos,Brazil
2017-02-20,2017-03-08,16,86.0,12.0,13,Support Engineering,Warp Engines,US & Canada
2017-02-20,2017-02-23,3,1.0,1.0,100,Support Engineering,Transporters,US & Canada
2017-02-20,2017-02-27,7,2.0,2.5,125,Support Engineering,Transporters,US & Canada
2017-02-20,2017-02-21,1,8.0,5.0,62,Systems Engineering,Warp Engines,US & Canada
2017-02-20,2017-07-31,161,8.0,6.0,75,Systems Engineering,Transporters,US & Canada
2017-02-20,2017-02-21,1,16.0,2.0,12,Systems Engineering,Warp Engines,US & Canada
2017-02-20,2017-02-28,8,5.0,7.5,150,Support Engineering,Transporters,US & Canada
2017-02-21,2017-02-28,7,58.5,59.10000002384186,101,Support Engineering,Transporters,US & Canada
2017-02-21,2017-02-21,0,8.0,1.0,12,Systems Engineering,Warp Engines,US & Canada
2017-02-21,2017-02-21,0,8.0,0.5,6,Support Engineering,Warp Engines,US & Canada
2017-02-21,2017-02-21,0,8.0,7.0,87,Support Engineering,Warp Engines,US & Canada
2017-02-21,2017-02-21,0,4.0,2.0,50,Support Engineering,Warp Engines,US & Canada
2017-02-22,2017-02-23,1,8.0,0.5,6,Systems Engineering,Warp Engines,US & Canada
2017-02-22,2017-02-22,0,16.0,15.0,93,Support Engineering,Warp Engines,US & Canada
2017-02-22,2017-02-23,1,8.0,2.0,25,Systems Engineering,Warp Engines,US & Canada
2017-02-22,2017-09-13,203,8.0,10.0,125,Systems Engineering,Transporters,US & Canada
2017-02-23,2017-03-20,25,125.0,164.99999967217443,131,Systems Engineering,Transporters,US & Canada
2017-02-22,2017-03-02,8,4.0,4.0,100,Systems Engineering,Transporters,US & Canada
2017-02-23,2017-03-30,35,8.0,7.0,87,Systems Engineering,Transporters,US & Canada
2017-02-23,2017-03-21,26,6.0,4.0,66,Systems Engineering,Transporters,US & Canada
2017-02-23,2017-02-23,0,72.0,11.0,15,Support Engineering,Warp Engines,US & Canada
2017-02-23,2017-02-23,0,40.0,21.5,53,Support Engineering,Warp Engines,US & Canada
2017-02-23,2017-02-23,0,40.0,9.400000013411043,23,Support Engineering,Warp Engines,US & Canada
2017-02-23,2017-03-17,22,58.0,17.80000001192093,30,Support Engineering,Warp Engines,US & Canada
2017-02-23,2017-07-27,154,55.0,62.00000077486038,112,Support Engineering,Transporters,US & Canada
2017-02-23,2017-03-07,12,8.0,2.5,31,Systems Engineering,Warp Engines,US & Canada
2017-02-23,2017-09-21,210,4.0,4.0,100,Systems Engineering,Transporters,US & Canada
2017-02-24,2017-09-21,209,8.0,7.0,87,Systems Engineering,Transporters,US & Canada
2017-02-24,2018-01-16,326,4.0,0.5,12,Support Engineering,Transporters,US & Canada
2017-02-24,2017-07-27,153,4.0,3.5,87,Support Engineering,Transporters,US & Canada
2017-02-24,2017-03-27,31,8.0,3.5,43,Support Engineering,Warp Engines,US & Canada
2017-02-24,2018-01-16,326,4.0,3.0,75,Support Engineering,Transporters,US & Canada
2017-02-24,2017-03-02,6,3.0,3.0,100,Systems Engineering,Transporters,US & Canada
2017-02-24,2017-02-24,0,60.0,4.900000035762787,8,Support Engineering,Warp Engines,US & Canada
2017-02-24,2017-02-24,0,35.0,26.10000006109476,74,Support Engineering,Warp Engines,US & Canada
2017-02-24,2017-03-15,19,1.0,1.0,100,Support Engineering,Warp Engines,US & Canada
2017-02-24,2017-03-08,12,35.0,5.5,15,Systems Engineering,Warp Engines,US & Canada
2017-02-24,2017-02-28,4,8.0,2.0,25,Systems Engineering,Warp Engines,US & Canada
2017-02-24,2017-02-27,3,8.0,2.0,25,Systems Engineering,Warp Engines,US & Canada
2017-02-24,2017-02-27,3,8.0,1.0,12,Systems Engineering,Warp Engines,US & Canada
2017-02-27,2017-03-06,7,200.0,71.00000150501728,35,Systems Engineering,Tricorders,US & Canada
2017-02-27,2017-02-28,1,8.0,0.5,6,Systems Engineering,Warp Engines,US & Canada
2017-02-27,2017-02-27,0,8.0,7.000000059604645,87,Systems Engineering,Tricorders,US & Canada
2017-02-27,2017-02-28,1,4.5,4.5,100,Support Engineering,Transporters,US & Canada
2017-02-28,2017-02-28,0,8.0,3.5,43,Systems Engineering,Warp Engines,US & Canada
2017-02-28,2017-03-27,27,10.0,15.500000059604645,155,Support Engineering,Warp Engines,US & Canada
2017-02-28,2017-02-28,0,8.0,0.5,6,Support Engineering,Warp Engines,US & Canada
2017-02-28,2017-02-28,0,8.0,0.5,6,Support Engineering,Warp Engines,US & Canada
2017-03-01,2017-03-07,6,6.0,11.0,183,Systems Engineering,Transporters,US & Canada
2017-03-02,2017-04-10,39,8.0,19.5,243,Systems Engineering,Transporters,US & Canada
2017-03-02,2017-04-19,48,23.0,23.0,100,Support Engineering,Tricorders,US & Canada
2017-03-02,2017-03-22,20,8.0,13.500000022351742,168,Systems Engineering,Transporters,US & Canada
2017-03-03,2017-03-10,7,4.0,6.000000059604645,150,Systems Engineering,Transporters,US & Canada
2017-03-03,2017-05-05,63,8.0,68.00000007450579,850,Support Engineering,Transporters,US & Canada
2017-03-03,2017-03-07,4,6.0,3.0,50,Systems Engineering,Transporters,US & Canada
2017-03-03,2017-03-09,6,8.0,2.0,25,Systems Engineering,Tricorders,US & Canada
2017-03-03,2017-03-08,5,8.0,9.5,118,Support Engineering,Tricorders,US & Canada
2017-03-03,2017-03-14,11,80.0,5.5,6,Systems Engineering,Warp Engines,US & Canada
2017-03-03,2017-05-31,89,8.0,50.00000011920929,625,Support Engineering,Tricorders,US & Canada
2017-03-03,2017-03-07,4,8.0,2.0,25,Systems Engineering,Warp Engines,US & Canada
2017-03-06,2017-04-12,37,3.0,8.0,266,R&D,Photon Torpedos,Mexico
2017-03-06,2017-03-07,1,8.0,2.5,31,Systems Engineering,Warp Engines,US & Canada
2017-03-06,2017-03-21,15,300.0,166.0,55,Systems Engineering,Transporters,US & Canada
2017-03-06,2017-03-06,0,8.0,1.5,18,Systems Engineering,Warp Engines,US & Canada
2017-03-06,2017-03-09,3,6.0,4.800000026822089,80,R&D,Photon Torpedos,Brazil
2017-03-06,2017-06-05,91,8.0,9.0,112,Support Engineering,Transporters,US & Canada
2017-03-06,2017-03-23,17,7.0,6.0,85,Support Engineering,Warp Engines,US & Canada
2017-03-06,2017-03-08,2,8.0,3.5,43,Systems Engineering,Warp Engines,US & Canada
2017-03-07,2017-03-08,1,8.0,1.5,18,Systems Engineering,Warp Engines,US & Canada
2017-03-07,2017-03-07,0,4.0,5.0,125,Systems Engineering,Transporters,US & Canada
2017-03-07,2017-03-17,10,70.0,99.8999999910593,142,Support Engineering,Warp Engines,US & Canada
2017-03-07,2017-09-13,190,4.0,3.0,75,Systems Engineering,Transporters,US & Canada
2017-03-07,2017-03-07,0,20.0,18.0,90,Support Engineering,Warp Engines,US & Canada
2017-03-08,2017-04-06,29,40.0,26.5,66,Support Engineering,Transporters,US & Canada
2017-03-08,2017-04-06,29,12.0,8.0,66,Support Engineering,Transporters,US & Canada
2017-03-08,2017-04-11,34,8.0,12.200000047683716,152,R&D,Photon Torpedos,Brazil
2017-03-08,2017-03-13,5,8.0,12.0,150,Systems Engineering,Transporters,US & Canada
2017-03-08,2017-03-09,1,8.0,15.0,187,Systems Engineering,Warp Engines,US & Canada
2017-03-09,2017-03-14,5,4.0,3.0,75,Support Engineering,Transporters,US & Canada
2017-03-09,2017-04-24,46,140.0,128.0,91,Support Engineering,Tricorders,US & Canada
2017-03-09,2017-03-09,0,8.0,1.5,18,Systems Engineering,Warp Engines,US & Canada
2017-03-09,2017-03-09,0,12.0,2.500000014901161,20,Support Engineering,Warp Engines,US & Canada
2017-03-09,2017-03-14,5,10.0,10.5,105,Systems Engineering,Transporters,US & Canada
2017-03-09,2017-04-26,48,5.0,3.5,70,Support Engineering,Warp Engines,US & Canada
2017-03-10,2017-06-01,83,8.0,2.0,25,Support Engineering,Tricorders,US & Canada
2017-03-10,2017-03-21,11,12.0,10.500000193715096,87,Support Engineering,Warp Engines,US & Canada
2017-03-10,2017-03-20,10,8.0,1.5,18,Systems Engineering,Warp Engines,US & Canada
2017-03-10,2017-04-28,49,8.0,7.0,87,Systems Engineering,Transporters,US & Canada
2017-03-10,2017-03-14,4,8.0,4.0,50,Systems Engineering,Tricorders,US & Canada
2017-03-10,2017-09-13,187,4.0,4.0,100,Systems Engineering,Transporters,US & Canada
2017-03-13,2017-03-13,0,8.0,0.4000000059604645,5,R&D,Photon Torpedos,Brazil
2017-03-13,2017-03-13,0,2.0,2.0,100,Systems Engineering,Transporters,US & Canada
2017-03-13,2017-03-13,0,6.0,3.0,50,Systems Engineering,Transporters,US & Canada
2017-03-13,2017-03-14,1,8.0,1.5,18,Systems Engineering,Warp Engines,US & Canada
2017-03-13,2017-03-14,1,2.0,2.0,100,Systems Engineering,Transporters,US & Canada
2017-03-13,2017-03-14,1,8.0,7.0,87,Systems Engineering,Transporters,US & Canada
2017-03-14,2017-04-12,29,15.0,4.0,26,R&D,Photon Torpedos,Mexico
2017-03-13,2017-03-22,9,8.0,6.0,75,Systems Engineering,Transporters,US & Canada
2017-03-14,2017-03-27,13,4.0,3.5,87,Systems Engineering,Transporters,US & Canada
2017-03-14,2017-04-19,36,3.0,3.0,100,Support Engineering,Tricorders,US & Canada
2017-03-14,2018-01-16,308,70.0,0.8000000119209291,1,Support Engineering,Transporters,US & Canada
2017-03-14,2017-03-27,13,8.0,9.900000147521496,123,Systems Engineering,Transporters,US & Canada
2017-03-15,2017-09-21,190,8.0,8.0,100,Systems Engineering,Transporters,US & Canada
2017-03-15,2017-03-16,1,8.0,1.0,12,Systems Engineering,Warp Engines,US & Canada
2017-03-15,2017-03-17,2,16.0,467.0000012069941,2918,Systems Engineering,Tricorders,US & Canada
2017-03-15,2017-03-16,1,6.0,2.0,33,Support Engineering,Warp Engines,US & Canada
2017-03-16,2017-03-27,11,14.0,18.0,128,Systems Engineering,Transporters,US & Canada
2017-03-16,2017-03-24,8,24.0,19.5,81,Systems Engineering,Warp Engines,US & Canada
2017-03-16,2017-03-27,11,8.0,7.0,87,Systems Engineering,Transporters,US & Canada
2017-03-16,2017-03-17,1,8.0,11.0,137,Systems Engineering,Tricorders,US & Canada
2017-03-16,2017-03-29,13,8.0,11.0,137,Systems Engineering,Tricorders,US & Canada
2017-03-16,2017-03-16,0,8.0,2.5,31,Systems Engineering,Warp Engines,US & Canada
2017-03-16,2017-04-11,26,5.0,10.0,200,R&D,Photon Torpedos,Brazil
2017-03-16,2017-03-17,1,8.0,7.600000023841858,95,R&D,Photon Torpedos,Mexico
2017-03-17,2017-03-30,13,8.0,4.0,50,Systems Engineering,Transporters,US & Canada
2017-03-17,2017-04-11,25,8.0,3.600000023841858,45,R&D,Photon Torpedos,Mexico
2017-03-17,2017-03-27,10,6.0,4.0,66,Systems Engineering,Transporters,US & Canada
2017-03-17,2017-03-17,0,20.0,3.0,15,Support Engineering,Tricorders,US & Canada
2017-03-17,2017-03-17,0,10.0,4.5,45,Support Engineering,Tricorders,US & Canada
2017-03-17,2017-03-22,5,8.5,9.0,105,Support Engineering,Transporters,US & Canada
2017-03-17,2017-03-27,10,8.0,4.0,50,Systems Engineering,Tricorders,US & Canada
2017-03-17,2017-05-02,46,46.0,4.0000000298023215,8,Support Engineering,Transporters,US & Canada
2017-03-17,2017-03-22,5,8.0,12.5,156,Systems Engineering,Warp Engines,US & Canada
2017-03-20,2017-04-07,18,36.0,40.80000001192093,113,Support Engineering,Transporters,US & Canada
2017-03-20,2017-03-31,11,8.0,1.0,12,Systems Engineering,Warp Engines,US & Canada
2017-03-20,2017-03-20,0,60.0,48.0,80,Support Engineering,Warp Engines,US & Canada
2017-03-20,2017-03-27,7,8.0,2.0,25,Systems Engineering,Warp Engines,US & Canada
2017-03-21,2017-03-21,0,8.0,6.800000071525574,85,R&D,Photon Torpedos,Brazil
2017-03-21,2017-03-21,0,8.0,6.2000000178813925,77,R&D,Photon Torpedos,Brazil
2017-03-21,2017-03-21,0,8.0,9.000000149011614,112,R&D,Photon Torpedos,Brazil
2017-03-21,2017-05-06,46,8.0,51.0,637,R&D,Photon Torpedos,Colombia
2017-03-21,2017-03-23,2,8.0,4.0,50,Systems Engineering,Tricorders,US & Canada
2017-03-29,2017-04-03,5,2.0,2.0,100,Systems Engineering,Warp Engines,US & Canada
2017-03-22,2017-04-28,37,8.0,4.0,50,Systems Engineering,Transporters,US & Canada
2017-03-23,2017-03-23,0,8.0,13.800000056624413,172,R&D,Photon Torpedos,Brazil
2017-03-23,2017-03-27,4,12.0,7.9999998807907104,66,Support Engineering,Warp Engines,US & Canada
2017-03-23,2017-05-01,39,80.0,21.500000312924385,26,Systems Engineering,Transporters,US & Canada
2017-03-23,2017-03-30,7,60.0,59.0,98,Systems Engineering,Transporters,US & Canada
2017-03-24,2017-05-01,38,8.0,13.100000247359276,163,Systems Engineering,Transporters,US & Canada
2017-03-24,2017-03-27,3,8.0,1.0,12,Systems Engineering,Warp Engines,US & Canada
2017-03-24,2017-03-30,6,8.0,7.299999974668026,91,Systems Engineering,Transporters,US & Canada
2017-03-24,2017-03-28,4,8.0,2.0,25,Systems Engineering,Tricorders,US & Canada
2017-03-24,2017-03-27,3,8.0,0.5,6,Systems Engineering,Tricorders,US & Canada
2017-04-07,2017-04-07,0,8.0,1.0,12,Systems Engineering,Tricorders,US & Canada
2017-03-27,2017-03-27,0,60.0,14.200000047683716,23,Support Engineering,Warp Engines,US & Canada
2017-03-27,2017-03-29,2,8.0,2.0,25,Systems Engineering,Warp Engines,US & Canada
2017-03-27,2017-04-25,29,8.0,7.5,93,Systems Engineering,Transporters,US & Canada
2017-03-27,2017-07-24,119,15.0,7.500000171363354,50,Systems Engineering,Transporters,US & Canada
2017-03-27,2017-03-28,1,14.0,26.5,189,Support Engineering,Warp Engines,US & Canada
2017-03-28,2017-03-30,2,8.0,3.0,37,Systems Engineering,Warp Engines,US & Canada
2017-03-29,2017-04-07,9,8.0,10.0,125,Systems Engineering,Transporters,US & Canada
2017-03-29,2017-03-30,1,6.0,6.5,108,Support Engineering,Warp Engines,US & Canada
2017-03-29,2017-04-05,7,8.0,3.0,37,Support Engineering,Warp Engines,US & Canada
2017-03-29,2017-04-05,7,4.0,2.0,50,Systems Engineering,Transporters,US & Canada
2017-03-30,2017-06-21,83,8.0,8.0,100,Systems Engineering,Transporters,US & Canada
2017-03-30,2017-03-31,1,8.0,17.0,212,R&D,Photon Torpedos,Brazil
2017-03-30,2017-03-30,0,8.0,30.0,375,Support Engineering,Tricorders,US & Canada
2017-03-30,2017-06-09,71,20.0,3.5,17,Support Engineering,Warp Engines,US & Canada
2017-03-31,2017-04-12,12,8.0,12.5,156,Systems Engineering,Transporters,US & Canada
2017-03-31,2017-04-06,6,8.0,7.5,93,Support Engineering,Transporters,US & Canada
2017-04-03,2017-04-04,1,8.0,25.0,312,R&D,Photon Torpedos,Brazil
2017-04-03,2017-07-27,115,5.0,5.0,100,Support Engineering,Transporters,US & Canada
2017-05-05,2017-05-10,5,4.0,1.5,37,Support Engineering,Transporters,US & Canada
2017-04-04,2017-04-07,3,6.5,5.0,76,Support Engineering,Transporters,US & Canada
2017-04-04,2017-04-04,0,8.0,2.0,25,Systems Engineering,Warp Engines,US & Canada
2017-04-04,2017-04-10,6,8.0,1.5,18,Systems Engineering,Warp Engines,US & Canada
2017-04-04,2017-04-06,2,8.0,1.0,12,Systems Engineering,Warp Engines,US & Canada
2017-04-04,2017-04-05,1,8.0,6.800000041723251,85,R&D,Photon Torpedos,Brazil
2017-04-05,2017-04-24,19,20.0,18.0,90,Support Engineering,Tricorders,US & Canada
2017-04-05,2017-04-07,2,8.0,24.0,300,R&D,Photon Torpedos,Brazil
2017-04-06,2017-05-03,27,70.0,60.5,86,Support Engineering,Transporters,US & Canada
2017-04-12,2017-04-19,7,8.0,36.0,450,R&D,Photon Torpedos,Brazil
